appearance_id;artista_proyecto;nombre_cancion;aparicion;tipo;titulo_obra;temporada_episodio;pais_obra;lanzamiento_cancion
GOR014;Gorillaz;Clint Eastwood;2016;Pelicula;Trolls;;Estados Unidos;2001
GOR015;Gorillaz;Clint Eastwood;2015;Serie;Scorpion;S1/E18;Estados Unidos;2001
GOR016;Gorillaz;Clint Eastwood;2010;Pelicula;Fair Game;;Estados Unidos;2001
GOR017;Gorillaz;Clint Eastwood;2007;Serie;Cold Case;S5/E6;Estados Unidos;2001
GOR018;Gorillaz;Clint Eastwood;2001;Serie;Smallville;S1/E3;Estados Unidos;2001
GOR019;Gorillaz;Clint Eastwood;2001;Serie;Angel;S3/E6;Estados Unidos;2001
GOR020;Gorillaz;Clint Eastwood;2023;Serie;Pantheon;S2/E6;Estados Unidos;2001
GOR021;Gorillaz;Clint Eastwood;2006;Serie;Shameless (UK);S3/E2;Reino Unido;2001
GOR022;Gorillaz;Clint Eastwood;2001;Serie;Dark Angel;S2/E5;Estados Unidos;2001
GOR023;Gorillaz;Clint Eastwood;2001;Serie;Daria;S5/E12;Estados Unidos;2001
GOR024;Gorillaz;Clint Eastwood;2012;Serie;Bad Education;S1/E2;Reino Unido;2001
GOR025;Gorillaz;Clint Eastwood;2025;Serie;Twisted Metal;S2/E1;Estados Unidos;2001
GOR026;Gorillaz;Clint Eastwood;2001;Videojuego;MTV Music Generator 2;;Reino Unido;2001
GOR027;Gorillaz;Clint Eastwood;2009;Videojuego;Rock Band 2;;Estados Unidos;2001
GOR028;Gorillaz;Clint Eastwood;2013;Videojuego;NBA 2K14;;Estados Unidos;2001
GOR029;Gorillaz;Clint Eastwood;2023;Videojuego;Synth Riders ;;Estados Unidos;2001
GOR030;Gorillaz;Clint Eastwood;2025;Videojuego;Fortnite Festival;;Estados Unidos;2001
GOR031;Gorillaz;Cracker Island (ft. Thundercat);2023;Serie;Platonic;S1/E8;Estados Unidos;2022
GOR032;Gorillaz;Cracker Island (ft. Thundercat);2023;Videojuego;Synth Riders ;;Estados Unidos;2022
GOR033;Gorillaz;DARE;2009;Videojuego;DJ Hero ;;Reino Unido;2005
GOR034;Gorillaz;DARE;2009;Videojuego;Just Dance;;Francia;2005
GOR035;Gorillaz;DARE;2010;Videojuego;SingStar ;;Reino Unido;2005
GOR036;Gorillaz;DARE;2012;Videojuego;Just Dance 3 ;;Francia;2005
GOR037;Gorillaz;DARE;2012;Videojuego;Just Dance Greatest Hits;;Francia;2005
GOR038;Gorillaz;DARE;2022;Videojuego;Beatstar;;Reino Unido;2005
GOR039;Gorillaz;DARE;2023;Videojuego;Synth Riders ;;Estados Unidos;2005
GOR040;Gorillaz;DARE;2025;Videojuego;Fortnite Festival;;Estados Unidos;2005
GOR041;Gorillaz;DARE;2025;Videojuego;Fortnite ;;Estados Unidos;2005
GOR042;Gorillaz;DARE;2021;Serie;Outer Banks;S2/E7;Estados Unidos;2005
GOR043;Gorillaz;DARE;2018;Serie;Love Island (UK);S4/E6;Reino Unido;2005
GOR044;Gorillaz;DARE;2011;Serie;Misfits (UK);S3/E6;Reino Unido;2005
GOR045;Gorillaz;DARE;2005;Serie;Entourage;S2/E2;Estados Unidos;2005
GOR046;Gorillaz;DARE;2023;Serie;American Auto;S2/E5;Estados Unidos;2005
GOR047;Gorillaz;DARE;2023;Serie;Love Island (UK);S9/E13;Reino Unido;2005
GOR048;Gorillaz;DARE;2020;Serie;Love Island (UK);S6/E5;Reino Unido;2005
GOR049;Gorillaz;DARE;2007;Pelicula;Nancy Drew;;Estados Unidos;2005
GOR050;Gorillaz;DARE;2007;Serie;Studio 60 on the Sunset Strip;S1/E12;Estados Unidos;2005
GOR051;Gorillaz;DARE;2007;Serie;Shameless (UK);S4/E1;Reino Unido;2005
GOR052;Gorillaz;DARE;2006;Serie;Waterloo Road;S1/E1;Reino Unido;2005
GOR053;Gorillaz;DARE;2006;Serie;Shameless (UK);S3/E7;Reino Unido;2005
GOR054;Gorillaz;Dirty Harry;2010;Videojuego;SingStar ;;Reino Unido;2005
GOR055;Gorillaz;Dirty Harry;2021;Pelicula;Dear Rider The Jake Burton Story;;Estados Unidos;2005
GOR056;Gorillaz;Dirty Harry;2006;Serie;Entourage;S3/E6;Estados Unidos;2005
GOR057;Gorillaz;Dirty Harry (Schtung Chinese New Year Remix);2010;Pelicula;The Karate Kid;;Estados Unidos;2006
GOR058;Gorillaz;Dub Dumb (ft. Sweetie Irie);2001;Videojuego;MTV Music Generator 2;;Reino Unido;2001
GOR059;Gorillaz;El Mañana;2005;Serie;The OC;S2/E24;Estados Unidos;2005
GOR060;Gorillaz;El Mañana;2006;Serie;Top Gear (UK);S8/E3;Reino Unido;2005
GOR061;Gorillaz;Feel Good Inc.;2026;Serie;Tell Me Lies;S3/E3;Estados Unidos;2005
GOR062;Gorillaz;Feel Good Inc.;2006;Serie;Six Degrees;S1/E1;Estados Unidos;2005
GOR063;Gorillaz;Feel Good Inc.;2006;Serie;Entourage;S3/E3;Estados Unidos;2005
GOR064;Gorillaz;Feel Good Inc.;2008;Serie;Torchwood (UK);S2/E6;Reino Unido;2005
GOR065;Gorillaz;Feel Good Inc.;2022;Serie;The Afterparty;S1/E6;Estados Unidos;2005
GOR066;Gorillaz;Feel Good Inc.;2022;Serie;The Afterparty;S1/E1;Estados Unidos;2005
GOR067;Gorillaz;Feel Good Inc.;2022;Serie;The Afterparty;S1/E2;Estados Unidos;2005
GOR068;Gorillaz;Feel Good Inc.;2021;Pelicula;The White Tiger;;India/Estados Unidos;2005
GOR069;Gorillaz;Feel Good Inc.;2019;Serie;Looking for Alaska;S1/E2;Estados Unidos;2005
GOR070;Gorillaz;Feel Good Inc.;2015;Pelicula;The Big Short;;Estados Unidos;2005
GOR071;Gorillaz;Feel Good Inc.;2006;Serie;House, M.D.;S3/E1;Estados Unidos;2005
GOR072;Gorillaz;Feel Good Inc.;2007;Pelicula;Perfect Stranger;;Estados Unidos;2005
GOR073;Gorillaz;Feel Good Inc.;2007;Serie;Shameless (UK);S4/E3;Reino Unido;2005
GOR074;Gorillaz;Feel Good Inc.;2006;Serie;Sugar Rush;S2/E1;Reino Unido;2005
GOR075;Gorillaz;Feel Good Inc.;2005;Serie;Las Vegas;S3/E6;Estados Unidos;2005
GOR076;Gorillaz;Feel Good Inc. ;2006;Serie;House, M.D.;S3/E1;Estados Unidos;2005
GOR077;Gorillaz;Feel Good Inc. ;2007;Videojuego;SingStar Pop;;Reino Unido;2005
GOR078;Gorillaz;Feel Good Inc. ;2008;Videojuego;Battle of the Bands;;Estados Unidos;2005
GOR079;Gorillaz;Feel Good Inc. ;2009;Videojuego;Dance Dance Revolution Hottest Party 3;;Japón;2005
GOR080;Gorillaz;Feel Good Inc. ;2009;Videojuego;DJ Hero;;Reino Unido;2005
GOR081;Gorillaz;Feel Good Inc. ;2009;Videojuego;Guitar Hero 5;;Estados Unidos;2005
GOR082;Gorillaz;Feel Good Inc. ;2009;Videojuego;Rock Band 2;;Estados Unidos;2005
GOR083;Gorillaz;Feel Good Inc. ;2010;Videojuego;SingStar ;;Reino Unido;2005
GOR084;Gorillaz;Feel Good Inc. ;2014;Videojuego;Fantasia Music Evolved;;Estados Unidos;2005
GOR085;Gorillaz;Feel Good Inc. ;2014;Videojuego;Grand Theft Auto V ;;Reino Unido;2005
GOR086;Gorillaz;Feel Good Inc. ;2020;Videojuego;Watch Dogs Legion;;Canadá;2005
GOR087;Gorillaz;Feel Good Inc. ;2021;Videojuego;Beatstar;;Reino Unido;2005
GOR088;Gorillaz;Feel Good Inc. ;2023;Videojuego;Synth Riders ;;Estados Unidos;2005
GOR089;Gorillaz;Feel Good Inc. ;2023;Videojuego;Metal Hellsinger The Essential Hits ;;Suecia;2005
GOR090;Gorillaz;Feel Good Inc. ;2024;Videojuego;Fortnite Festival;;Estados Unidos;2005
GOR091;Gorillaz;Feel Good Inc. ;2024;Videojuego;Pop Beat;;Estados Unidos;2005
GOR092;Gorillaz;Hong Kong;2008;Serie;Top Gear (UK);S12/E8;Reino Unido;2007
GOR093;Gorillaz;Kids With Guns;2007;Serie;Waterloo Road;S2/E9;Reino Unido;2005
GOR094;Gorillaz;Kids With Guns;2010;Serie;Top Gear (UK);S15/E1;Reino Unido;2005
GOR095;Gorillaz;Kids With Guns;2005;Serie;The OC;S2/E21;Estados Unidos;2005
GOR096;Gorillaz;Let Me Out (ft. Pusha T and Mavis Staples);2017;Videojuego;NBA Live 18;;Estados Unidos;2017
GOR097;Gorillaz;New Gold (ft. Tame Impala and Bootie Brown);2023;Serie;The Summer I Turned Pretty;S2/E6;Estados Unidos;2022
GOR098;Gorillaz;New Gold (ft. Tame Impala and Bootie Brown);2023;Videojuego;Synth Riders ;;Estados Unidos;2022
GOR099;Gorillaz;On Melancholy Hill;2018;Videojuego;Life is Strange 2;;Francia;2010
GOR100;Gorillaz;On Melancholy Hill;2023;Videojuego;Synth Riders;;Estados Unidos;2010
GOR101;Gorillaz;On Melancholy Hill;2025;Videojuego;Fortnite Festival;;Estados Unidos;2010
GOR102;Gorillaz;On Melancholy Hill;2019;Serie;Cold Feet;S8/E5;Reino Unido;2010
GOR103;Gorillaz;On Melancholy Hill;2022;Serie;Brassic;S4/E7;Reino Unido;2010
GOR104;Gorillaz;On Melancholy Hill (Feed Me Remix);2010;Serie;The Vampire Diaries;S2/E7;Estados Unidos;2010
GOR105;Gorillaz;Plastic Beach (ft. Mick Jones and Paul Simonon);2010;Serie;Top Gear (UK);S15/E3;Reino Unido;2010
GOR106;Gorillaz;Plastic Beach (ft. Mick Jones and Paul Simonon);2010;Videojuego;Dance Dance Revolution 2010;;Japón;2010
GOR107;Gorillaz;Re-Hash;2009;Videojuego;Rock Band 2 ;;Estados Unidos;2001
GOR108;Gorillaz;Rhinestone Eyes;2010;Videojuego;FIFA 11;;Canadá;2010
GOR109;Gorillaz;Saturnz Barz (ft. Popcaan);2020;Serie;Double Shot at Love;S2/E11;Estados Unidos;2017
GOR110;Gorillaz;Sleeping Powder;2023;Videojuego;Synth Riders ;;Estados Unidos;2017
GOR111;Gorillaz;Sorcererz;2018;Videojuego;FIFA 19;;Canadá;2018
GOR112;Gorillaz;Stylo (ft. Bobby Womack and Mos Def);2010;Videojuego;DJ Hero 2;;Reino Unido;2010
GOR113;Gorillaz;Stylo (ft. Bobby Womack and Mos Def);2012;Videojuego;NBA Baller Beats;;Estados Unidos;2010
GOR114;Gorillaz;Stylo (iTunes Session);2010;Serie;Waterloo Road;S6/E6;Reino Unido;2010
GOR115;Gorillaz;Superfast Jellyfish (ft. De La Soul and Gruff Rhys);2025;Videojuego;Fortnite ;;Estados Unidos;2010
GOR116;Gorillaz;Superfast Jellyfish (ft. De La Soul and Gruff Rhys);2010;Serie;Top Gear (UK);S15/E2;Reino Unido;2010
GOR117;Gorillaz;The Valley of the Pagans (ft. Beck);2021;Videojuego;MLB The Show 21;;Estados Unidos;2020
GOR118;Gorillaz;The Valley of the Pagans (ft. Beck);2021;Videojuego;Forza Horizon 5;;Reino Unido;2020
GOR119;Gorillaz;Tranz;2018;Serie;wtFOCK ;S1/E3;Bélgica;2018
BEA001;Beady Eye;Four Letter Word;2011;Videojuego;F1 2011;;Reino Unido;2011
BEA002;Beady Eye;Dreaming of Some Space;2013;Serie;Elementary;S1/E23;Estados Unidos;2013
BEA003;Beady Eye;Face The Crowd;2013;Serie;Top Gear (UK);S20/E2;Reino Unido;2013
BEA004;Beady Eye;Flick Of The Finger;2015;Serie;Top Gear (UK);S22/E3;Reino Unido;2013
BEA005;Beady Eye;Second Bite Of The Apple;2013;Serie;Top Gear (UK);S20/E1;Reino Unido;2013
BEA006;Beady Eye;Start Anew;2013;Serie;Elementary;S1/E24;Estados Unidos;2013
BEA007;Beady Eye;Start Anew;2013;Serie;Elementary;S1/E23;Estados Unidos;2013
GBQ001;The Good, the Bad & the Queen;Green Fields ;2008;Serie;Skins (UK);S2/E6;Reino Unido;2007
LIA001;Liam Gallagher;Everything's Electric ;2022;Serie;NCIS Hawaii;S1/E14;Estados Unidos;2022
LIA002;Liam Gallagher;Shockwave;2019;Serie;Are You Afraid of the Dark?;S1/E1;Canadá;2019
HFB001;Noel Gallagher's High Flying Birds;AKA… What A Life!;2015;Serie;Top Gear (UK);S22/E2;Reino Unido;2011
HFB002;Noel Gallagher's High Flying Birds;Dead To The World;2024;Serie;The Umbrella Academy;S4/E6;Estados Unidos;2023
HFB003;Noel Gallagher's High Flying Birds;Everybody's On The Run ;2012;Serie;Beauty and the Beast;S1/E4;Estados Unidos;2011
HFB004;Noel Gallagher's High Flying Birds;If I Had A Gun…;2012;Serie;One Tree Hill;S9/E7;Estados Unidos;2011
HFB005;Noel Gallagher's High Flying Birds;In The Heat Of The Moment;2019;Serie;The Umbrella Academy;S1/E5;Estados Unidos;2014
HFB006;Noel Gallagher's High Flying Birds;In The Heat Of The Moment (Toydrum Remix);2017;Serie;Top Gear (UK);S24/E4;Reino Unido;2015
HFB007;Noel Gallagher's High Flying Birds;Let The Lord Shine A Light On Me;2013;Serie;Top Gear (UK);S19/E4;Reino Unido;2011
HFB008;Noel Gallagher's High Flying Birds;Let The Lord Shine A Light On Me;2012;Serie;Top Gear (UK);S18/E6;Reino Unido;2011
HFB009;Noel Gallagher's High Flying Birds;Sail On;2020;Serie;Trying;S1/E7;Reino Unido;2019
HFB010;Noel Gallagher's High Flying Birds;The Man Who Built the Moon;2019;Serie;The InBetween;S1/E1;Estados Unidos;2017
NOE001;Noel Gallagher;But What If;2016;Pelicula;Supersonic;;Reino Unido;2016
NG002;Noel Gallagher;Teotihuacan;1998;Pelicula;The X Files;;Estados Unidos;1998
DAM001;Damon Albarn;Closet Romantic;1996;Pelicula;Trainspotting;;Reino Unido;1996
DAM002;Damon Albarn;Heavy Seas of Love;2015;Serie;Banana;S1/E7;Reino Unido;2014
DAM003;Damon Albarn;Sister Rust;2014;Pelicula;Lucy;;Francia;2014
