appearance_id;artista_proyecto;nombre_cancion;aparicion;tipo;titulo_obra;temporada_episodio;pais_obra;lanzamiento_cancion
BLU069;Blur;Song 2;2013;Videojuego;Saints Row IV;;Estados Unidos;1997
BLU070;Blur;Song 2;2013;Videojuego;Madden NFL 25;;Estados Unidos;1997
BLU071;Blur;Song 2;2020;Videojuego;Watch Dogs Legion;;Canadá;1997
BLU072;Blur;Song 2;2023;Videojuego;Rock Band 4 ;;Estados Unidos;1997
BLU073;Blur;Song 2;2024;Videojuego;Fortnite Festival;;Estados Unidos;1997
BLU074;Blur;Song 2;2025;Videojuego;Synth Riders ;;Estados Unidos;1997
BLU075;Blur;Song 2;2025;Videojuego;EA Sports College Football 26;;Estados Unidos;1997
BLU076;Blur;Song 2;2025;Videojuego;Madden NFL 26;;Estados Unidos;1997
BLU077;Blur;Song 2;2025;Videojuego;NBA 2K26;;Estados Unidos;1997
BLU078;Blur;Song 2;2026;Videojuego;NHL 27;;Canadá;1997
BLU079;Blur;Song 2;2021;Serie;Ted Lasso;S2/E5;Estados Unidos;1997
BLU080;Blur;Song 2;2026;Serie;The Artful Dodger;S2/E1;Australia;1997
BLU081;Blur;Song 2;2024;Serie;Maxton Hall;S1/E2;Alemania;1997
BLU082;Blur;Song 2;2026;Serie;Shrinking;S3/E1;Estados Unidos;1997
BLU083;Blur;Song 2;2021;Serie;This Is Pop;S1/E2;Canadá;1997
BLU084;Blur;Song 2;2018;Serie;Yellowstone;S1/E2;Estados Unidos;1997
BLU085;Blur;Song 2;2017;Pelicula;Atomic Blonde;;Estados Unidos;1997
BLU086;Blur;Song 2;2016;Pelicula;Central Intelligence;;Estados Unidos;1997
BLU087;Blur;Song 2;2015;Serie;My Mad Fat Diary;S3/E1;Reino Unido;1997
BLU088;Blur;Song 2;2014;Serie;Parks and Recreation;S6/E18;Estados Unidos;1997
BLU089;Blur;Song 2;2010;Serie;Nikita;S1/E4;Estados Unidos;1997
BLU090;Blur;Song 2;2004;Serie;Alias;S3/E14;Estados Unidos;1997
BLU091;Blur;Song 2;2000;Pelicula;Charlie's Angels;;Estados Unidos;1997
BLU092;Blur;Song 2;1999;Serie;The Simpsons;S10/E12;Estados Unidos;1997
BLU093;Blur;Song 2;2019;Serie;Almost Family;S1/E1;Estados Unidos;1997
BLU094;Blur;Song 2;2008;Serie;Torchwood (UK);S2/E1;Reino Unido;1997
BLU095;Blur;Song 2;1997;Serie;Daria;S1/E5;Estados Unidos;1997
BLU096;Blur;Song 2;2023;Serie;Yellowjackets;S2/E6;Estados Unidos;1997
BLU097;Blur;Song 2;2022;Serie;Quantum Leap ;S1/E8;Estados Unidos;1997
BLU098;Blur;Song 2;2022;Serie;Quantum Leap ;S1/E7;Estados Unidos;1997
BLU099;Blur;Song 2;2012;Serie;Hustle;S8/E6;Reino Unido;1997
BLU100;Blur;Song 2;2006;Serie;South Park;S10/E14;Estados Unidos;1997
BLU102;Blur;Sweet Song;2012;Serie;Nikita;S2/E12;Estados Unidos;2003
BLU103;Blur;Sweet Song;2005;Serie;Sugar Rush;S1/E1;Reino Unido;2003
BLU104;Blur;Tender;1999;Serie;Daria;S3/E10;Estados Unidos;1999
BLU105;Blur;Tender;2022;Pelicula;Aftersun;;Reino Unido;1999
BLU106;Blur;Tender;2021;Serie;Sex Education;S3/E3;Reino Unido;1999
BLU107;Blur;Tender;2018;Serie;Patrick Melrose;S1/E5;Reino Unido;1999
BLU108;Blur;Tender;2000;Serie;Young Americans;S1/E1;Estados Unidos;1999
BLU109;Blur;Tender;2025;Serie;All Her Fault;S1/E7;Estados Unidos;1999
BLU110;Blur;The Universal;2013;Serie;My Mad Fat Diary;S1/E6;Reino Unido;1995
BLU111;Blur;The Universal;2021;Serie;Ted Lasso;S2/E9;Estados Unidos;1995
BLU112;Blur;There's No Other Way;2009;Videojuego;Rock Band ;;Estados Unidos;1991
BLU113;Blur;There's No Other Way;2010;Videojuego;Guitar Hero 5 ;;Estados Unidos;1991
BLU114;Blur;There's No Other Way;2013;Pelicula;The World's End;;Reino Unido/Estados Unidos;1991
BLU115;Blur;There's No Other Way;2023;Pelicula;Ghosted;;Estados Unidos;1991
BLU116;Blur;There's No Other Way;2001;Serie;Buffy the Vampire Slayer;S5/E11;Estados Unidos;1991
BLU117;Blur;There's No Other Way;2002;Serie;Top Gear (UK);S1/E3;Reino Unido;1991
BLU118;Blur;To the End;2009;Serie;Misfits (UK);S1/E6;Reino Unido;1994
BLU119;Blur;To the End;2024;Serie;One Day;S1/E9;Reino Unido;1994
BLU120;Blur;To the End;2014;Serie;My Mad Fat Diary;S2/E6;Reino Unido;1994
BLU121;Blur;To the End;2014;Serie;My Mad Fat Diary;S2/E2;Reino Unido;1994
BLU122;Blur;Trimm Trabb;2001;Serie;Roswell;S3/E1;Estados Unidos;1999
BLU123;Blur;Trimm Trabb;1999;Serie;Millennium;S3/E17;Estados Unidos;1999
BLU124;Blur;Under the Westway;2013;Serie;Parenthood;S4/E15;Estados Unidos;2012
OAS001;Oasis;Lyla;2005;Videojuego;FIFA 06;;Canadá;2005
OAS002;Oasis;(Get Off Your) High Horse Lady;2008;Videojuego;Guitar Hero World Tour ;;Estados Unidos;2008
OAS003;Oasis;(Get Off Your) High Horse Lady;2008;Serie;One Tree Hill;S6/E12;Estados Unidos;2008
OAS004;Oasis;Acquiesce;2016;Pelicula;Supersonic;;Reino Unido;1995
OAS005;Oasis;Acquiesce;2015;Serie;My Mad Fat Diary;S3/E2;Reino Unido;1995
OAS006;Oasis;Acquiesce;2007;Serie;Jericho;S1/E12;Estados Unidos;1995
OAS007;Oasis;Ain't Got Nothin';2008;Videojuego;Guitar Hero World Tour ;;Estados Unidos;2008
OAS008;Oasis;All Around The World;2016;Pelicula;Supersonic;;Reino Unido;1997
OAS009;Oasis;All Around The World;1998;Serie;Daria;S2/E2;Estados Unidos;1997
OAS010;Oasis;Bag It Up;2008;Videojuego;Guitar Hero World Tour ;;Estados Unidos;2008
OAS011;Oasis;Bonehead's Bank Holiday (Demo);2016;Pelicula;Supersonic;;Reino Unido;2014
OAS012;Oasis;Boy With the Blues;2009;Serie;NCIS;S6/E22;Estados Unidos;2008
