artista;cancion;aparicion;tipo;titulo_obra;temporada_episodio;titulo_episodio
Blur;Song 2;2021;Serie;This Is Pop;S1E2;Hail Britpop!
Blur;Song 2;2018;Serie;Yellowstone;S1E2;Kill the Messenger
Blur;Song 2;2017;Pelicula;Atomic Blonde;;
Blur;Song 2;2016;Pelicula;Central Intelligence;;
Blur;Song 2;2015;Serie;My Mad Fat Diary;S3E1;Who is Stan Ford?
Blur;Song 2;2014;Serie;Parks and Recreation;S6E18;Prom
Blur;Song 2;2010;Serie;Nikita;S1E4;Rough Trade
Blur;Song 2;2004;Serie;Alias;S3E14;Blowback
Blur;Song 2;2000;Pelicula;Charlie's Angels;;
Blur;Song 2;1999;Serie;The Simpsons;S10E12;Sunday, Cruddy Sunday
Blur;Song 2;2019;Serie;Almost Family;S1E1;Pilot
Blur;Song 2;2008;Serie;Torchwood (UK);S2E1;Kiss Kiss, Bang Bang
Blur;Song 2;1997;Serie;Daria;S1E5;Malled
Blur;Song 2;2023;Serie;Yellowjackets;S2E6;Qui
Blur;Song 2;2022;Serie;Quantum Leap ;S1E8;Stand by Ben
Blur;Song 2;2022;Serie;Quantum Leap ;S1E7;O Ye of Little Faith
Blur;Song 2;2012;Serie;Hustle;S8E6;The Con is Off
Blur;Song 2;2006;Serie;South Park;S10E14;Stanley's Cup
Blur;Song 2 (techno mix);2001;Serie;Queer as Folk (2000);S1E20;The King of Babylon
Blur;Sweet Song;2012;Serie;Nikita;S2E12;Sanctuary
Blur;Sweet Song;2005;Serie;Sugar Rush;S1E1;Episode 1
Blur;Tender;1999;Serie;Daria;S3E10;Speedtrapped
Blur;Tender;2022;Pelicula;Aftersun;;
Blur;Tender;2021;Serie;Sex Education;S3E3;Episode 3
Blur;Tender;2018;Serie;Patrick Melrose;S1E5;At Last
Blur;Tender;2000;Serie;Young Americans;S1E1;Pilot (a.k.a. The Beginning)
Blur;Tender;2025;Serie;All Her Fault;S1E7;Episode 7
Blur;The Universal;2013;Serie;My Mad Fat Diary;S1E6;It's a Wonderful Rae (2)
Blur;The Universal;2021;Serie;Ted Lasso;S2E9;Beard After Hours
Blur;There's No Other Way;2013;Pelicula;The World's End;;
Blur;There's No Other Way;2023;Pelicula;Ghosted;;
Blur;There's No Other Way;2001;Serie;Buffy the Vampire Slayer;S5E11;Triangle
Blur;There's No Other Way;2002;Serie;Top Gear (UK);S1E3;Grannies Do Donuts
Blur;To the End;2009;Serie;Misfits (UK);S1E6;Episode 6
