artista;cancion;aparicion;tipo;titulo_obra;temporada_episodio;titulo_episodio
Gorillaz;19-2000 (Soulchild Remix);2010;Serie;Strike Back;S1E1;Iraq - Part 1
Gorillaz;5/4;2001;Serie;Smallville;S1E6;Hourglass
Gorillaz;Bobby In Phoenix (feat. Bobby Womack);2022;Serie;Hard Knocks in Season;S2E6;The Arizona Cardinals #6
Gorillaz;Busted and Blue;2019;Serie;Brassic;S1E4;Episode 4
Gorillaz;Clint Eastwood;2023;Serie;For All Mankind;S4E2;Have a Nice Sol
Gorillaz;Clint Eastwood;2021;Serie;The Challenge: All Stars;S1E8;Mo Money Mo Problems
Gorillaz;Clint Eastwood;2016;Pelicula;Trolls;;
Gorillaz;Clint Eastwood;2015;Serie;Scorpion;S1E18;Once Bitten, Twice Die
Gorillaz;Clint Eastwood;2010;Pelicula;Fair Game;;
Gorillaz;Clint Eastwood;2007;Serie;Cold Case;S5E6;Wunderkind
Gorillaz;Clint Eastwood;2001;Serie;Smallville;S1E3;Hothead
Gorillaz;Clint Eastwood;2001;Serie;Angel;S3E6;Billy
Gorillaz;Clint Eastwood;2023;Serie;Pantheon;S2E6;Apokalypsis
Gorillaz;Clint Eastwood;2006;Serie;Shameless (UK);S3E2;Dark Friends
Gorillaz;Clint Eastwood;2001;Serie;Dark Angel;S2E5;Boo
Gorillaz;Clint Eastwood;2001;Serie;Daria;S5E12;My Night at Daria's
Gorillaz;Clint Eastwood;2012;Serie;Bad Education;S1E2;Sex Education
Gorillaz;Clint Eastwood;2025;Serie;Twisted Metal;S2E1;PRSRPNT
Gorillaz;Clint Eastwood;2026;Serie;Saturday Night Live;S51E14;Ryan Gosling / Gorillaz
Gorillaz;Cracker Island (feat. Thundercat);2023;Serie;Platonic;S1E8;San Diego
Gorillaz;Dare;2021;Serie;Outer Banks;S2E7;The Bonfire
Gorillaz;Dare;2021;Serie;At Home Motivation;;
Gorillaz;Dare;2018;Serie;Love Island (UK);S4E6;Episode 6 - The Weekly Hot List
Gorillaz;Dare;2011;Serie;Misfits (UK);S3E6;Series 3, Episode 6
Gorillaz;Dare;2005;Serie;Entourage;S2E2;My Maserati Does 185
Gorillaz;Dare;2023;Serie;American Auto;S2E5;Going Green
Gorillaz;Dare;2023;Serie;Love Island (UK);S9E13;Episode 13
Gorillaz;Dare;2020;Serie;Love Island (UK);S6E5;Episode 5
Gorillaz;Dare;2007;Pelicula;Nancy Drew;;
Gorillaz;Dare;2007;Serie;Studio 60 on the Sunset Strip;S1E12;Monday
Gorillaz;Dare;2007;Serie;Shameless (UK);S4E1;New Beginnings
Gorillaz;Dare;2006;Serie;Waterloo Road;S1E1;Episode 1
Gorillaz;Dare;2006;Serie;Shameless (UK);S3E7;Act Your Age
Gorillaz;Dirty Harry;2021;Pelicula;Dear Rider: The Jake Burton Story;;
Gorillaz;Dirty Harry;2006;Serie;Entourage;S3E6;Three's Company
Gorillaz;Dirty Harry (Schtung Chinese New Year Remix);2010;Pelicula;The Karate Kid;;
Gorillaz;El Mañana;2005;Serie;The OC;S2E24;The Dearly Beloved
Gorillaz;El Mañana;2006;Serie;Top Gear (UK);S8E3;Amphibious Cars
Gorillaz;Feel Good Inc;2026;Serie;Tell Me Lies;S3E3;Repent
Gorillaz;Feel Good Inc;2006;Serie;Six Degrees;S1 | E1;Pilot
Gorillaz;Feel Good Inc.;2006;Serie;Entourage;S3 | E3;Dominated
Gorillaz;Feel Good Inc.;2008;Serie;Torchwood (UK);S2 | E6;Reset (1)
Gorillaz;Feel Good Inc.;2022;Serie;The Afterparty;S1 | E6;Zoë
Gorillaz;Feel Good Inc.;2022;Serie;The Afterparty;S1 | E1;Aniq
Gorillaz;Feel Good Inc.;2022;Serie;The Afterparty;S1E2;Brett
Gorillaz;Feel Good Inc.;2021;Pelicula;The White Tiger;;
Gorillaz;Feel Good Inc.;2019;Serie;Looking for Alaska;S1 | E2;Tell Them I Said Something...
Gorillaz;Feel Good Inc.;2015;Pelicula;The Big Short;;
Gorillaz;Feel Good Inc.;2006;Serie;House, M.D.;S3 | E1;Meaning
Gorillaz;Feel Good Inc.;2007;Pelicula;Perfect Stranger;;
Gorillaz;Feel Good Inc.;2007;Serie;Shameless (UK);S4 | E3;You Decide
Gorillaz;Feel Good Inc.;2006;Serie;Sugar Rush;S2 | E1;Episode 1
Gorillaz;Feel Good Inc.;2005;Serie;Las Vegas;S3 | E6;The Real McCoy
Gorillaz;Feel Good Inc.;2006;Serie;House, M.D.;S3 | E1;Meaning
Gorillaz;Hong Kong;2008;Serie;Top Gear (UK);S12 | E8;Vietnam Special
Gorillaz;Kids with Guns;2007;Serie;Waterloo Road;S2 | E9;Episode 9
Gorillaz;Kids With Guns;2010;Serie;Top Gear (UK);S15 | E1;Season 15, Episode 1
Gorillaz;Kids With Guns;2005;Serie;The OC;S2 | E21;The Return of the Nana
Gorillaz;New Gold (feat. Tame Impala and Bootie Brown);2023;Serie;The Summer I Turned Pretty;S2 | E6;Love Fest
Gorillaz;On Melancholy Hill;2019;Serie;Cold Feet;S8 | E5;Episode 5
Gorillaz;On Melancholy Hill;2022;Serie;Brassic;S4 | E7;An Unexpected Guest
Gorillaz;On Melancholy Hill (Feed Me Remix);2010;Serie;The Vampire Diaries;S2 | E7;Masquerade
Gorillaz;Plastic Beach (feat. Mick Jones and Paul Simonon);2010;Serie;Top Gear (UK);S15 | E3;Season 15, Episode 3
Gorillaz;Saturnz Barz (feat. Popcaan);2020;Serie;Double Shot at Love;S2 | E11;The L-Word
Gorillaz;Saturnz Barz (feat. Popcaan);2020;Serie;Jersey Shore: Family Vacation;S3 | E29;The Speech, Pt. 2
Gorillaz;Stylo (iTunes Session);2010;Serie;Waterloo Road;S6 | E6;Episode 6
Gorillaz;Superfast Jellyfish (feat. Gruff Rhys and De La Soul);2010;Serie;Top Gear (UK);S15E2;Season 15, Episode 2
Gorillaz;The Moon Cave (feat. Asha Puthli, Bobby Womack, David Jolicoeur, Jalen Ngonda & Black Thought);2026;Serie;Saturday Night Live;S51E14;Ryan Gosling / Gorillaz
Gorillaz;Tranz;2018;Serie;wtFOCK (aka Skam Belgium);S1E3;We're the Biggest Loser's of the School
Beady Eye;Four Letter Word;2011;Videojuego;F1 2011;;
Beady Eye;Standing on the Edge of the Noise;2011;Videojuego;NHL 12;;
Beady Eye;Dreaming of Some Space;2013;Serie;Elementary;S1E23;The Woman
Beady Eye;Face The Crowd;2013;Serie;Top Gear (UK);S20E2;
Beady Eye;Flick Of The Finger;2015;Serie;Top Gear (UK);S22E3;
Beady Eye;Second Bite Of The Apple;2013;Serie;Top Gear (UK);S20E1;
Beady Eye;Start Anew;2013;Serie;Elementary;S1|E24;Heroine
Beady Eye;Start Anew;2013;Serie;Elementary;S1|E23;The Woman
The Good, the Bad & the Queen;Green Fields (feat. James Dring);2008;Serie;Skins (UK);S2|E6;Tony
Liam Gallagher;Everything´s Electric ;2022;Serie;NCIS: Hawaii;S1|E14;Broken
Liam Gallagher;Shockwave;2019;Serie;Are You Afraid of the Dark?0;S1|E1;Part One: Submitted for Approval
Noel Gallagher's High Flying Birds;AKA… What A Life!;2015;Serie;Top Gear (UK);S22|E2;
Noel Gallagher's High Flying Birds;Dead To The World;2024;Serie;The Umbrella Academy;S4|E6;End of the Beginning
Noel Gallagher's High Flying Birds;Everybody´s On The Run ;2012;Serie;Beauty and the Beast;S1|E4;Basic Instinct
Noel Gallagher's High Flying Birds;If I Had A Gun…;2012;Serie;One Tree Hill;S9|E7;Last Known Surroundings
Noel Gallagher's High Flying Birds;In The Heat Of The Moment;2019;Serie;The Umbrella Academy;S1|E5;Number Five
Noel Gallagher's High Flying Birds;In The Heat Of The Moment (Toydrum Remix);2017;Serie;Top Gear (UK);S24|E4;
Noel Gallagher's High Flying Birds;Let The Lord Shine A Light On Me;2013;Serie;Top Gear (UK);S19|E4;
Noel Gallagher's High Flying Birds;Let The Lord Shine A Light On Me;2012;Serie;Top Gear (UK);S18|E6;
Noel Gallagher's High Flying Birds;Sail On;2020;Serie;Trying;S1|E7;Good Old Family Map
Noel Gallagher's High Flying Birds;The Man Who Built the Moon;2019;Serie;The InBetween;S1|E1;Pilot
Noel Gallagher;But What If;2016;Pelicula;Supersonic;;
Noel Gallagher;Teotihuacan;1998;Pelicula;The X Files;;
Damon Albarn;Closet Romantic;1996;Pelicula;Trainspotting;;
Damon Albarn;Heavy Seas of Love;2015;Serie;Banana;S1|E7;
Damon Albarn;Sister Rust;2014;Pelicula;Lucy;;
